agent,task_id,success
meta-llama__Llama-2-7b-hf,0,0.0
meta-llama__Llama-2-7b-hf,1,0.0
meta-llama__Llama-2-7b-hf,2,0.0
meta-llama__Llama-2-7b-hf,3,0.0
meta-llama__Llama-2-7b-hf,4,0.0
meta-llama__Llama-2-7b-hf,5,0.0
meta-llama__Llama-2-7b-hf,6,0.0
meta-llama__Llama-2-7b-hf,7,0.0
meta-llama__Llama-2-7b-hf,8,1.0
meta-llama__Llama-2-7b-hf,9,1.0
meta-llama__Llama-2-7b-hf,10,1.0
meta-llama__Llama-2-7b-hf,11,0.0
meta-llama__Llama-2-7b-hf,12,0.0
meta-llama__Llama-2-7b-hf,13,0.0
meta-llama__Llama-2-7b-hf,14,1.0
meta-llama__Llama-2-7b-hf,15,0.0
meta-llama__Llama-2-7b-hf,16,0.0
meta-llama__Llama-2-7b-hf,17,0.0
meta-llama__Llama-2-7b-hf,18,0.0
meta-llama__Llama-2-7b-hf,19,1.0
meta-llama__Llama-2-7b-hf,20,0.0
meta-llama__Llama-2-7b-hf,21,0.0
meta-llama__Llama-2-7b-hf,22,0.0
meta-llama__Llama-2-7b-hf,23,0.0
meta-llama__Llama-2-7b-hf,24,0.0
meta-llama__Llama-2-7b-hf,25,0.0
meta-llama__Llama-2-7b-hf,26,0.0
meta-llama__Llama-2-7b-hf,27,0.0
meta-llama__Llama-2-7b-hf,28,0.0
meta-llama__Llama-2-7b-hf,29,0.0
meta-llama__Llama-2-7b-hf,30,0.0
meta-llama__Llama-2-7b-hf,31,0.0
meta-llama__Llama-2-7b-hf,32,0.0
meta-llama__Llama-2-7b-hf,33,0.0
meta-llama__Llama-2-7b-hf,34,0.0
meta-llama__Llama-2-7b-hf,35,0.0
meta-llama__Llama-2-7b-hf,36,0.0
meta-llama__Llama-2-7b-hf,37,0.0
meta-llama__Llama-2-7b-hf,38,0.0
meta-llama__Llama-2-7b-hf,39,0.0
meta-llama__Llama-2-7b-hf,40,0.0
meta-llama__Llama-2-7b-hf,41,1.0
meta-llama__Llama-2-7b-hf,42,0.0
meta-llama__Llama-2-7b-hf,43,0.0
meta-llama__Llama-2-7b-hf,44,0.0
meta-llama__Llama-2-7b-hf,45,0.0
meta-llama__Llama-2-7b-hf,46,0.0
meta-llama__Llama-2-7b-hf,47,0.0
meta-llama__Llama-2-7b-hf,48,0.0
meta-llama__Llama-2-7b-hf,49,0.0
meta-llama__Llama-2-7b-hf,50,0.0
meta-llama__Llama-2-7b-hf,51,0.0
meta-llama__Llama-2-7b-hf,52,0.0
meta-llama__Llama-2-7b-hf,53,0.0
meta-llama__Llama-2-7b-hf,54,0.0
meta-llama__Llama-2-7b-hf,55,0.0
meta-llama__Llama-2-7b-hf,56,0.0
