agent,task_id,success
meta-llama__Llama-2-7b-hf,0,1.0
meta-llama__Llama-2-7b-hf,1,1.0
meta-llama__Llama-2-7b-hf,2,1.0
meta-llama__Llama-2-7b-hf,3,1.0
meta-llama__Llama-2-7b-hf,4,1.0
meta-llama__Llama-2-7b-hf,5,1.0
meta-llama__Llama-2-7b-hf,6,1.0
meta-llama__Llama-2-7b-hf,7,1.0
meta-llama__Llama-2-7b-hf,8,0.0
meta-llama__Llama-2-7b-hf,9,0.0
meta-llama__Llama-2-13b-hf,0,1.0
meta-llama__Llama-2-13b-hf,1,1.0
meta-llama__Llama-2-13b-hf,2,1.0
meta-llama__Llama-2-13b-hf,3,1.0
meta-llama__Llama-2-13b-hf,4,1.0
meta-llama__Llama-2-13b-hf,5,1.0
meta-llama__Llama-2-13b-hf,6,1.0
meta-llama__Llama-2-13b-hf,7,1.0
meta-llama__Llama-2-13b-hf,8,1.0
meta-llama__Llama-2-13b-hf,9,0.0
meta-llama__Llama-2-13b-hf,10,1.0
meta-llama__Llama-2-13b-hf,11,1.0
meta-llama__Llama-2-13b-hf,12,1.0
meta-llama__Llama-2-13b-hf,13,1.0
meta-llama__Llama-2-13b-hf,14,1.0
meta-llama__Llama-2-13b-hf,15,0.0
meta-llama__Llama-2-13b-hf,16,1.0
meta-llama__Llama-2-13b-hf,17,1.0
meta-llama__Llama-2-13b-hf,18,0.0
meta-llama__Llama-2-13b-hf,19,1.0
meta-llama__Llama-2-13b-hf,20,1.0
meta-llama__Llama-2-13b-hf,21,1.0
meta-llama__Llama-2-13b-hf,22,0.0
meta-llama__Llama-2-13b-hf,23,1.0
meta-llama__Llama-2-13b-hf,24,1.0
meta-llama__Llama-2-13b-hf,25,1.0
meta-llama__Llama-2-13b-hf,26,1.0
meta-llama__Llama-2-13b-hf,27,0.0
meta-llama__Llama-2-13b-hf,28,1.0
meta-llama__Llama-2-13b-hf,29,1.0
meta-llama__Llama-2-13b-hf,30,1.0
meta-llama__Llama-2-13b-hf,31,1.0
meta-llama__Llama-2-13b-hf,32,0.0
meta-llama__Llama-2-13b-hf,33,1.0
meta-llama__Llama-2-13b-hf,34,0.0
meta-llama__Llama-2-13b-hf,35,0.0
meta-llama__Llama-2-13b-hf,36,1.0
meta-llama__Llama-2-13b-hf,37,1.0
meta-llama__Llama-2-13b-hf,38,1.0
meta-llama__Llama-2-13b-hf,39,1.0
meta-llama__Llama-2-13b-hf,40,1.0
meta-llama__Llama-2-13b-hf,41,1.0
meta-llama__Llama-2-13b-hf,42,1.0
meta-llama__Llama-2-13b-hf,43,1.0
meta-llama__Llama-2-13b-hf,44,1.0
meta-llama__Llama-2-13b-hf,45,1.0
meta-llama__Llama-2-13b-hf,46,1.0
meta-llama__Llama-2-13b-hf,47,1.0
