a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
Claude 3 Opus (Inspect),Claude 3.5 Sonnet (New) (Inspect),155,59,-0.19408602150537635,-0.16666666666666666,0.027419354838709692,0.027419354838709692,False
Claude 3 Opus (Inspect),Claude 3.5 Sonnet (Old) (Inspect),152,58,-0.10800438596491228,-0.05028735632183909,0.057717029643073195,0.057717029643073195,False
Claude 3 Opus (Inspect),Claude 3.7 Sonnet (Inspect),157,60,-0.33651804670912955,-0.4680555555555556,-0.13153750884642607,0.13153750884642607,False
Claude 3 Opus (Inspect),Claude 4 Opus (Inspect),157,60,-0.3967622080679406,-0.579861111111111,-0.18309890304317045,0.18309890304317045,False
Claude 3 Opus (Inspect),Claude 4.1 Opus (Inspect),157,60,-0.4007430997876858,-0.6027777777777779,-0.20203467799009206,0.20203467799009206,False
Claude 3 Opus (Inspect),Claude Opus 4.5 (Inspect),157,60,-0.529723991507431,-0.8694444444444446,-0.3397204529370136,0.3397204529370136,False
Claude 3 Opus (Inspect),Claude Opus 4.6 (Inspect),157,60,-0.5734758871701546,-0.8472222222222222,-0.2737463350520676,0.2737463350520676,False
Claude 3 Opus (Inspect),GPT-4 0314,142,53,0.01760563380281691,0.015723270440251576,-0.0018823633625653334,0.0018823633625653334,False
Claude 3 Opus (Inspect),GPT-4 1106 (Inspect),157,60,0.011677282377919318,0.018055555555555554,0.006378273177636236,0.006378273177636236,False
Claude 3 Opus (Inspect),GPT-4 Turbo (Inspect),157,60,0.03927813163481953,0.03333333333333333,-0.005944798301486198,0.005944798301486198,False
Claude 3 Opus (Inspect),GPT-4o (Inspect),157,60,-0.04564755838641189,-0.061111111111111116,-0.015463552724699223,0.015463552724699223,False
Claude 3 Opus (Inspect),GPT-5 (Inspect),157,60,-0.4887859486585601,-0.7994444444444445,-0.3106584957858844,0.3106584957858844,False
Claude 3 Opus (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.5111464968152867,-0.8083333333333333,-0.29718683651804667,0.29718683651804667,False
Claude 3 Opus (Inspect),GPT-5.2,157,60,-0.565552016985138,-0.8798611111111112,-0.3143090941259732,0.3143090941259732,False
Claude 3 Opus (Inspect),GPT-5.3-Codex,157,60,-0.5538747346072187,-0.8319444444444444,-0.2780697098372257,0.2780697098372257,False
Claude 3 Opus (Inspect),Gemini 3 Pro,157,60,-0.5090233545647559,-0.8236111111111112,-0.3145877565463553,0.3145877565463553,False
Claude 3 Opus (Inspect),human,117,42,-0.3966648224894102,-0.58404781452811,-0.18738299203869985,0.18738299203869985,False
Claude 3 Opus (Inspect),o1 (Inspect),157,60,-0.3004246284501062,-0.3944444444444445,-0.09401981599433828,0.09401981599433828,False
Claude 3 Opus (Inspect),o1-preview,142,54,-0.1973088531187123,-0.22034832451499117,-0.023039471396278877,0.023039471396278877,False
Claude 3 Opus (Inspect),o3 (Inspect),157,60,-0.44182590233545654,-0.6977777777777778,-0.2559518754423213,0.2559518754423213,False
Claude 3.5 Sonnet (New) (Inspect),Claude 3.5 Sonnet (Old) (Inspect),150,57,0.09444444444444446,0.13011695906432746,0.03567251461988301,0.03567251461988301,False
Claude 3.5 Sonnet (New) (Inspect),Claude 3.7 Sonnet (Inspect),155,59,-0.14677419354838708,-0.30932203389830515,-0.16254784034991807,0.16254784034991807,False
Claude 3.5 Sonnet (New) (Inspect),Claude 4 Opus (Inspect),155,59,-0.2013440860215054,-0.40607344632768366,-0.20472936030617828,0.20472936030617828,False
Claude 3.5 Sonnet (New) (Inspect),Claude 4.1 Opus (Inspect),155,59,-0.2053763440860215,-0.42937853107344637,-0.22400218698742486,0.22400218698742486,False
Claude 3.5 Sonnet (New) (Inspect),Claude Opus 4.5 (Inspect),155,59,-0.3311827956989247,-0.7005649717514125,-0.3693821760524878,0.3693821760524878,False
Claude 3.5 Sonnet (New) (Inspect),Claude Opus 4.6 (Inspect),155,59,-0.3738863287250384,-0.6779661016949153,-0.3040797729698769,0.3040797729698769,False
Claude 3.5 Sonnet (New) (Inspect),GPT-4 0314,142,53,0.22593896713615025,0.2059748427672956,-0.01996412436885464,0.01996412436885464,False
Claude 3.5 Sonnet (New) (Inspect),GPT-4 1106 (Inspect),155,59,0.2075268817204301,0.18926553672316382,-0.018261344997266282,0.018261344997266282,False
Claude 3.5 Sonnet (New) (Inspect),GPT-4 Turbo (Inspect),155,59,0.23387096774193547,0.2005649717514124,-0.03330599599052306,0.03330599599052306,False
Claude 3.5 Sonnet (New) (Inspect),GPT-4o (Inspect),155,59,0.14784946236559138,0.10451977401129943,-0.04332968835429195,0.04332968835429195,False
Claude 3.5 Sonnet (New) (Inspect),GPT-5 (Inspect),155,59,-0.29455522971652004,-0.6293785310734464,-0.3348233013569264,0.3348233013569264,False
Claude 3.5 Sonnet (New) (Inspect),GPT-5.1-Codex-Max (Inspect),155,59,-0.3172043010752688,-0.6384180790960452,-0.3212137780207764,0.3212137780207764,False
Claude 3.5 Sonnet (New) (Inspect),GPT-5.2,155,59,-0.3706989247311829,-0.7111581920903955,-0.34045926735921267,0.34045926735921267,False
Claude 3.5 Sonnet (New) (Inspect),GPT-5.3-Codex,155,59,-0.35403225806451616,-0.6624293785310735,-0.3083971204665574,0.3083971204665574,False
Claude 3.5 Sonnet (New) (Inspect),Gemini 3 Pro,155,59,-0.3134408602150538,-0.653954802259887,-0.3405139420448332,0.3405139420448332,False
Claude 3.5 Sonnet (New) (Inspect),human,116,41,-0.18887745026949132,-0.40926849293123474,-0.22039104266174342,0.22039104266174342,False
Claude 3.5 Sonnet (New) (Inspect),o1 (Inspect),155,59,-0.10537634408602152,-0.22175141242937854,-0.11637506834335702,0.11637506834335702,False
Claude 3.5 Sonnet (New) (Inspect),o1-preview,142,54,0.007503353454057683,-0.038249559082892404,-0.04575291253695009,0.04575291253695009,True
Claude 3.5 Sonnet (New) (Inspect),o3 (Inspect),155,59,-0.24698924731182795,-0.5259887005649718,-0.2789994532531439,0.2789994532531439,False
Claude 3.5 Sonnet (Old) (Inspect),Claude 3.7 Sonnet (Inspect),152,58,-0.23793859649122806,-0.4295977011494253,-0.19165910465819724,0.19165910465819724,False
Claude 3.5 Sonnet (Old) (Inspect),Claude 4 Opus (Inspect),152,58,-0.2942904135338346,-0.5298645320197044,-0.2355741184858698,0.2355741184858698,False
Claude 3.5 Sonnet (Old) (Inspect),Claude 4.1 Opus (Inspect),152,58,-0.29605263157894735,-0.5474137931034483,-0.25136116152450094,0.25136116152450094,False
Claude 3.5 Sonnet (Old) (Inspect),Claude Opus 4.5 (Inspect),152,58,-0.42598684210526316,-0.8146551724137931,-0.38866833030853,0.38866833030853,False
Claude 3.5 Sonnet (Old) (Inspect),Claude Opus 4.6 (Inspect),152,58,-0.4711779448621554,-0.7916666666666666,-0.3204887218045112,0.3204887218045112,False
