source,quartile,n_pairs,gap_min,gap_max,gap_median,m_b,p75_abs_delta,p95_abs_delta,sign_flip_rate
swebench-verified,Q1,2230,0.0,0.082,0.04,0.0327988165680473,0.0589023668639053,0.1076431952662721,0.14080717488789238
swebench-verified,Q2,2259,0.084,0.188,0.134,0.1049349112426035,0.1535266272189349,0.2104497041420118,0.0004426737494466578
swebench-verified,Q3,2206,0.19,0.318,0.248,0.2154556213017751,0.2642544378698225,0.3104822485207101,0.0
swebench-verified,Q4,2216,0.32,0.788,0.426,0.249508875739645,0.30147928994082834,0.3420591715976331,0.0
swebench-verified,OVERALL,8911,0.0,0.788,0.188,0.1262130177514792,0.228491124260355,0.3165147928994083,0.03534956794972506
livecodebench,Q1,639,0.0,0.0897727272727272,0.0445497630331753,0.0287365732250458,0.051678346869269004,0.08756072236080295,0.12832550860719874
livecodebench,Q2,639,0.0909090909090909,0.2226027397260274,0.1477272727272727,0.1148624224635271,0.15980606562780095,0.22006243593518585,0.0
livecodebench,Q3,640,0.2227272727272727,0.3829383886255924,0.3,0.25040935289494365,0.3089054409729594,0.3602333764182105,0.0
livecodebench,Q4,638,0.3829545454545454,0.820476858345021,0.4831697054698457,0.31932473146450085,0.3640956575844904,0.39242721416674353,0.0
livecodebench,OVERALL,2556,0.0,0.820476858345021,0.22266500622665003,0.15615304350579284,0.2861125971766362,0.3718485852941989,0.032081377151799685
mmlu-pro,Q1,282,9.30925339787749e-05,0.0907033754478597,0.0455100319352214,0.0182033429335103,0.03738058404814652,0.07045128294109622,0.06028368794326241
mmlu-pro,Q2,282,0.0907975460122699,0.1825015660889538,0.1325759032895387,0.0692301085853084,0.09206442707963967,0.1338150915983621,0.0
mmlu-pro,Q3,282,0.1826654240447343,0.3047473200612557,0.23356514560311964,0.1427070613241542,0.16309994912564615,0.196716300668988,0.0
mmlu-pro,Q4,282,0.3050314465408805,0.6881471800542878,0.38487584700580335,0.20257646943666724,0.22466158161531766,0.2433221449619927,0.0
mmlu-pro,OVERALL,1128,9.30925339787749e-05,0.6881471800542878,0.18258349506684404,0.0864693700243788,0.16301241332205077,0.22742093970893862,0.015070921985815602
