benchmark,stratification,stratum,n_pairs,median_abs_delta,p75_abs_delta,p95_abs_delta,sign_flip_rate
corebench_hard,all,all,703,0.1476190476190476,0.2523809523809524,0.4031746031746032,0.05832147937411095
corebench_hard,scaffold,intra-scaffold,346,0.1476190476190476,0.2496031746031746,0.39841269841269844,0.06069364161849711
corebench_hard,scaffold,inter-scaffold,357,0.1476190476190476,0.25555555555555554,0.42158730158730157,0.056022408963585436
corebench_hard,temporal,intra-month,111,0.1253968253968254,0.21111111111111114,0.30714285714285716,0.04504504504504504
corebench_hard,temporal,inter-month,592,0.15238095238095237,0.26825396825396824,0.4180158730158727,0.060810810810810814
gaia,all,all,496,0.07056277056277055,0.11823593073593072,0.18241341991341992,0.02620967741935484
gaia,scaffold,intra-scaffold,241,0.06168831168831171,0.10216450216450212,0.17835497835497838,0.02074688796680498
gaia,scaffold,inter-scaffold,255,0.08268398268398268,0.13409090909090907,0.18352813852813854,0.03137254901960784
gaia,temporal,intra-month,69,0.03679653679653683,0.0798701298701299,0.16627705627705625,0.014492753623188406
gaia,temporal,inter-month,427,0.07619047619047618,0.1198051948051948,0.18413419913419915,0.02810304449648712
online_mind2web,all,all,231,0.05736842105263157,0.1105263157894737,0.17894736842105263,0.06926406926406926
online_mind2web,scaffold,intra-scaffold,111,0.04473684210526316,0.09377192982456141,0.17894736842105263,0.04504504504504504
online_mind2web,scaffold,inter-scaffold,120,0.06078947368421052,0.11771929824561403,0.178219298245614,0.09166666666666666
online_mind2web,temporal,intra-month,50,0.04307017543859648,0.14767543859649124,0.16648245614035084,0.1
online_mind2web,temporal,inter-month,181,0.06035087719298245,0.1056140350877193,0.18105263157894735,0.06077348066298342
swebench_verified_mini,all,all,378,0.18857142857142856,0.31714285714285706,0.44547619047619036,0.047619047619047616
swebench_verified_mini,scaffold,intra-scaffold,183,0.1733333333333333,0.2714285714285714,0.4214285714285714,0.06557377049180328
swebench_verified_mini,scaffold,inter-scaffold,195,0.22666666666666663,0.3680952380952381,0.45999999999999996,0.03076923076923077
swebench_verified_mini,temporal,intra-month,63,0.15047619047619046,0.27809523809523806,0.4371428571428571,0.06349206349206349
swebench_verified_mini,temporal,inter-month,315,0.19047619047619047,0.32047619047619047,0.45038095238095244,0.044444444444444446
taubench_airline,all,all,325,0.05428571428571427,0.09285714285714286,0.13857142857142865,0.033846153846153845
taubench_airline,scaffold,intra-scaffold,157,0.04428571428571429,0.07857142857142857,0.12457142857142854,0.012738853503184714
taubench_airline,scaffold,inter-scaffold,168,0.06285714285714285,0.10142857142857145,0.1504285714285714,0.05357142857142857
taubench_airline,temporal,intra-month,61,0.04999999999999999,0.08714285714285713,0.13285714285714284,0.04918032786885246
taubench_airline,temporal,inter-month,264,0.055714285714285716,0.09428571428571428,0.1389285714285714,0.030303030303030304
usaco,all,all,78,0.14502119015095793,0.22667332142481875,0.28181149521908155,0.0641025641025641
usaco,scaffold,intra-scaffold,66,0.14502119015095793,0.22667332142481875,0.29021750551644426,0.06060606060606061
usaco,scaffold,inter-scaffold,12,0.11423417743686735,0.2103166263878673,0.2650467584322791,0.08333333333333333
usaco,temporal,intra-month,16,0.0829568141220973,0.16965255157437567,0.2553150502609366,0.25
usaco,temporal,inter-month,62,0.1636194879338727,0.23524570067598333,0.2930195089488984,0.016129032258064516
