source,model,d,mde_achieved,best_power,best_ability_scale,best_difficulty_scale,mde_ability_scale,mde_difficulty_scale,mde_combined,power_at_mde
livecodebench,compensatory-mirt,2,False,0.0,2.0,2.0,,,,
livecodebench,compensatory-mirt,3,False,0.0,2.0,2.0,,,,
livecodebench,compensatory-mirt,5,False,0.0,2.0,2.0,,,,
livecodebench,non-compensatory-mirt,2,True,,,,2.0,2.0,4.0,0.919
livecodebench,non-compensatory-mirt,3,True,,,,0.5,0.5,0.25,0.9564336372847011
livecodebench,non-compensatory-mirt,5,True,,,,0.5,1.5,0.75,1.0
mmlu-pro,compensatory-mirt,2,False,0.0,2.0,2.0,,,,
mmlu-pro,compensatory-mirt,3,False,0.0,2.0,2.0,,,,
mmlu-pro,compensatory-mirt,5,False,0.0,2.0,2.0,,,,
mmlu-pro,non-compensatory-mirt,2,True,,,,2.0,2.0,4.0,0.937
mmlu-pro,non-compensatory-mirt,3,True,,,,1.0,0.5,0.5,0.842
mmlu-pro,non-compensatory-mirt,5,True,,,,0.5,1.0,0.5,1.0
swebench-verified,compensatory-mirt,2,False,0.0,2.0,2.0,,,,
swebench-verified,compensatory-mirt,3,False,0.0,2.0,2.0,,,,
swebench-verified,compensatory-mirt,5,False,0.0,2.0,2.0,,,,
swebench-verified,non-compensatory-mirt,2,True,,,,1.5,2.0,3.0,0.877
swebench-verified,non-compensatory-mirt,3,True,,,,0.5,0.5,0.25,1.0
swebench-verified,non-compensatory-mirt,5,True,,,,0.5,1.5,0.75,1.0
