source,model,d,ability_scale,difficulty_scale,power
livecodebench,compensatory-mirt,2,0.5,0.5,0.0
livecodebench,compensatory-mirt,2,0.5,1.0,0.0
livecodebench,compensatory-mirt,2,0.5,1.5,0.0
livecodebench,compensatory-mirt,2,0.5,2.0,0.0
livecodebench,compensatory-mirt,2,1.0,0.5,0.0
livecodebench,compensatory-mirt,2,1.0,1.0,0.0
livecodebench,compensatory-mirt,2,1.0,1.5,0.0
livecodebench,compensatory-mirt,2,1.0,2.0,0.0
livecodebench,compensatory-mirt,2,1.5,0.5,0.0
livecodebench,compensatory-mirt,2,1.5,1.0,0.0
livecodebench,compensatory-mirt,2,1.5,1.5,0.0
livecodebench,compensatory-mirt,2,1.5,2.0,0.0
livecodebench,compensatory-mirt,2,2.0,0.5,0.0
livecodebench,compensatory-mirt,2,2.0,1.0,0.0
livecodebench,compensatory-mirt,2,2.0,1.5,0.0
livecodebench,compensatory-mirt,2,2.0,2.0,0.0
livecodebench,compensatory-mirt,3,0.5,0.5,0.0
livecodebench,compensatory-mirt,3,0.5,1.0,0.0
livecodebench,compensatory-mirt,3,0.5,1.5,0.0
livecodebench,compensatory-mirt,3,0.5,2.0,0.0
livecodebench,compensatory-mirt,3,1.0,0.5,0.0
livecodebench,compensatory-mirt,3,1.0,1.0,0.0
livecodebench,compensatory-mirt,3,1.0,1.5,0.0
livecodebench,compensatory-mirt,3,1.0,2.0,0.0
livecodebench,compensatory-mirt,3,1.5,0.5,0.0
livecodebench,compensatory-mirt,3,1.5,1.0,0.0
livecodebench,compensatory-mirt,3,1.5,1.5,0.0
livecodebench,compensatory-mirt,3,1.5,2.0,0.0
livecodebench,compensatory-mirt,3,2.0,0.5,0.0
livecodebench,compensatory-mirt,3,2.0,1.0,0.0
livecodebench,compensatory-mirt,3,2.0,1.5,0.0
livecodebench,compensatory-mirt,3,2.0,2.0,0.0
livecodebench,compensatory-mirt,5,0.5,0.5,0.0
livecodebench,compensatory-mirt,5,0.5,1.0,0.0
livecodebench,compensatory-mirt,5,0.5,1.5,0.0
livecodebench,compensatory-mirt,5,0.5,2.0,0.0
livecodebench,compensatory-mirt,5,1.0,0.5,0.0
livecodebench,compensatory-mirt,5,1.0,1.0,0.0
livecodebench,compensatory-mirt,5,1.0,1.5,0.0
livecodebench,compensatory-mirt,5,1.0,2.0,0.0
livecodebench,compensatory-mirt,5,1.5,0.5,0.0
livecodebench,compensatory-mirt,5,1.5,1.0,0.0
livecodebench,compensatory-mirt,5,1.5,1.5,0.0
livecodebench,compensatory-mirt,5,1.5,2.0,0.0
livecodebench,compensatory-mirt,5,2.0,0.5,0.0
livecodebench,compensatory-mirt,5,2.0,1.0,0.0
livecodebench,compensatory-mirt,5,2.0,1.5,0.0
livecodebench,compensatory-mirt,5,2.0,2.0,0.0
livecodebench,non-compensatory-mirt,2,0.5,0.5,0.0
livecodebench,non-compensatory-mirt,2,0.5,1.0,0.0
livecodebench,non-compensatory-mirt,2,0.5,1.5,0.0
livecodebench,non-compensatory-mirt,2,0.5,2.0,0.0
livecodebench,non-compensatory-mirt,2,1.0,0.5,0.0
livecodebench,non-compensatory-mirt,2,1.0,1.0,0.0
livecodebench,non-compensatory-mirt,2,1.0,1.5,0.004
livecodebench,non-compensatory-mirt,2,1.0,2.0,0.061
livecodebench,non-compensatory-mirt,2,1.5,0.5,0.028
livecodebench,non-compensatory-mirt,2,1.5,1.0,0.07
livecodebench,non-compensatory-mirt,2,1.5,1.5,0.255
livecodebench,non-compensatory-mirt,2,1.5,2.0,0.706
livecodebench,non-compensatory-mirt,2,2.0,0.5,0.143
livecodebench,non-compensatory-mirt,2,2.0,1.0,0.326
livecodebench,non-compensatory-mirt,2,2.0,1.5,0.671
livecodebench,non-compensatory-mirt,2,2.0,2.0,0.919
livecodebench,non-compensatory-mirt,3,0.5,0.5,0.9564336372847011
livecodebench,non-compensatory-mirt,3,0.5,1.0,0.043
livecodebench,non-compensatory-mirt,3,0.5,1.5,0.001
livecodebench,non-compensatory-mirt,3,0.5,2.0,0.002
livecodebench,non-compensatory-mirt,3,1.0,0.5,0.9948519948519948
livecodebench,non-compensatory-mirt,3,1.0,1.0,0.942
livecodebench,non-compensatory-mirt,3,1.0,1.5,0.925
livecodebench,non-compensatory-mirt,3,1.0,2.0,0.951
livecodebench,non-compensatory-mirt,3,1.5,0.5,0.9978448275862069
livecodebench,non-compensatory-mirt,3,1.5,1.0,0.999
livecodebench,non-compensatory-mirt,3,1.5,1.5,1.0
livecodebench,non-compensatory-mirt,3,1.5,2.0,1.0
livecodebench,non-compensatory-mirt,3,2.0,0.5,0.9961977186311787
livecodebench,non-compensatory-mirt,3,2.0,1.0,1.0
livecodebench,non-compensatory-mirt,3,2.0,1.5,1.0
livecodebench,non-compensatory-mirt,3,2.0,2.0,1.0
livecodebench,non-compensatory-mirt,5,0.5,1.5,1.0
livecodebench,non-compensatory-mirt,5,0.5,2.0,1.0
livecodebench,non-compensatory-mirt,5,1.0,1.5,1.0
livecodebench,non-compensatory-mirt,5,1.0,2.0,1.0
livecodebench,non-compensatory-mirt,5,1.5,1.5,1.0
livecodebench,non-compensatory-mirt,5,1.5,2.0,1.0
livecodebench,non-compensatory-mirt,5,2.0,2.0,1.0
mmlu-pro,compensatory-mirt,2,0.5,0.5,0.0
mmlu-pro,compensatory-mirt,2,0.5,1.0,0.0
mmlu-pro,compensatory-mirt,2,0.5,1.5,0.0
mmlu-pro,compensatory-mirt,2,0.5,2.0,0.0
mmlu-pro,compensatory-mirt,2,1.0,0.5,0.0
mmlu-pro,compensatory-mirt,2,1.0,1.0,0.0
mmlu-pro,compensatory-mirt,2,1.0,1.5,0.0
mmlu-pro,compensatory-mirt,2,1.0,2.0,0.0
mmlu-pro,compensatory-mirt,2,1.5,0.5,0.0
mmlu-pro,compensatory-mirt,2,1.5,1.0,0.0
mmlu-pro,compensatory-mirt,2,1.5,1.5,0.0
mmlu-pro,compensatory-mirt,2,1.5,2.0,0.0
mmlu-pro,compensatory-mirt,2,2.0,0.5,0.0
mmlu-pro,compensatory-mirt,2,2.0,1.0,0.0
