source,model,d,ability_scale,difficulty_scale,median_of_median_abs_delta,p2_5,p97_5,mean_sign_flip,mean_rho,mean_in_band,n
livecodebench,compensatory-mirt,2,0.5,0.5,0.004428325564134722,0.0034193569800356942,0.00559362637141141,0.10836408163265307,0.9535001316214093,0.8958047393364929,1000
livecodebench,compensatory-mirt,2,0.5,1.0,0.009434748667763171,0.007330476449429311,0.01179138785917883,0.1907461224489796,0.8453772913296627,0.647303317535545,1000
livecodebench,compensatory-mirt,2,0.5,1.5,0.013463114786666258,0.010398303744007083,0.016987723254743715,0.23232408163265306,0.7715772783848938,0.4757222748815166,1000
livecodebench,compensatory-mirt,2,0.5,2.0,0.01677847246099834,0.013117172834015558,0.021145662326062523,0.2534351020408163,0.7317795057625617,0.3726644549763033,1000
livecodebench,compensatory-mirt,2,1.0,0.5,0.0035466401008868165,0.0025978669650514054,0.0050079157011315295,0.09323020408163266,0.9666634674312853,0.9268113744075829,1000
livecodebench,compensatory-mirt,2,1.0,1.0,0.007926859174399697,0.00594998599462689,0.01066744751074396,0.17048979591836735,0.8750371281889532,0.7192568720379147,1000
livecodebench,compensatory-mirt,2,1.0,1.5,0.011416484084793815,0.008722596882942293,0.01568136212084055,0.21370775510204082,0.8032428050947367,0.5490540284360189,1000
livecodebench,compensatory-mirt,2,1.0,2.0,0.014465818516247703,0.010641706945178474,0.020098913243916123,0.23815673469387755,0.7600453816916799,0.43625497630331755,1000
livecodebench,compensatory-mirt,2,1.5,0.5,0.0029010206811962147,0.002045994466931081,0.0044137406646547585,0.07983020408163266,0.9761063091655386,0.9477298578199052,1000
livecodebench,compensatory-mirt,2,1.5,1.0,0.006639778082402875,0.004807251367983312,0.009336378220715232,0.15369877551020408,0.898448686424607,0.7806388625592418,1000
livecodebench,compensatory-mirt,2,1.5,1.5,0.00968702128850546,0.007053963211255,0.013924448213261005,0.19435755102040816,0.8350043034691815,0.6215706161137441,1000
livecodebench,compensatory-mirt,2,1.5,2.0,0.012323141305007057,0.008839174325051836,0.018908956366947147,0.22074448979591835,0.7891083495787988,0.5066521327014218,1000
livecodebench,compensatory-mirt,2,2.0,0.5,0.0024549850853878286,0.0016453959682657282,0.0042218981748643305,0.07163510204081631,0.9805344463288979,0.9597962085308056,1000
livecodebench,compensatory-mirt,2,2.0,1.0,0.0055608759076780645,0.004008989839189439,0.008532995448215924,0.1349461224489796,0.9217497014579232,0.8264625592417061,1000
livecodebench,compensatory-mirt,2,2.0,1.5,0.008211467462698352,0.005898923915173046,0.01282840085261015,0.17772979591836735,0.8606067291227587,0.6844492890995261,1000
livecodebench,compensatory-mirt,2,2.0,2.0,0.010555819323785354,0.007598972356494593,0.016192032972749147,0.20947918367346938,0.8064358593356906,0.5720767772511848,1000
livecodebench,compensatory-mirt,3,0.5,0.5,0.004146919431279622,0.0032057385725437816,0.005367963704425894,0.10402530612244898,0.9572955822254563,0.9054132701421801,1000
livecodebench,compensatory-mirt,3,0.5,1.0,0.009084781793724572,0.007039042656176375,0.011661862302185123,0.18893224489795918,0.8483678172389155,0.6644075829383886,1000
livecodebench,compensatory-mirt,3,0.5,1.5,0.012977021838480707,0.009895659083906865,0.016433865144118966,0.22727591836734695,0.7803346564058047,0.49407109004739336,1000
livecodebench,compensatory-mirt,3,0.5,2.0,0.016264228359410826,0.012668045587803186,0.020463713800639258,0.24943673469387756,0.7401319910969261,0.3856834123222749,1000
livecodebench,compensatory-mirt,3,1.0,0.5,0.003132025579082348,0.0022110395447899915,0.004396616177453694,0.08455510204081632,0.9733237860185191,0.942067298578199,1000
livecodebench,compensatory-mirt,3,1.0,1.0,0.007137339059596737,0.005410839226325329,0.009714612551457615,0.15894857142857144,0.8917484862504405,0.7561838862559243,1000
livecodebench,compensatory-mirt,3,1.0,1.5,0.010505694224027223,0.007869739549251388,0.014331093753900395,0.20488979591836737,0.8183695837411624,0.5896331753554502,1000
livecodebench,compensatory-mirt,3,1.0,2.0,0.013270142180094757,0.009845680531769456,0.018292639388788307,0.2308457142857143,0.771712079188574,0.4726995260663507,1000
livecodebench,compensatory-mirt,3,1.5,0.5,0.0023946903982867973,0.0015787540759916604,0.004000015350077715,0.0694734693877551,0.9823916652572263,0.9634312796208531,1000
livecodebench,compensatory-mirt,3,1.5,1.0,0.005620422754234244,0.004073144920701087,0.008311160919038081,0.136905306122449,0.9202589244789994,0.8276104265402844,1000
livecodebench,compensatory-mirt,3,1.5,1.5,0.008355773373545816,0.006121842447469867,0.012099297096964909,0.17947020408163267,0.8601102066788727,0.6802208530805688,1000
livecodebench,compensatory-mirt,3,1.5,2.0,0.01094814475926334,0.007918660633114397,0.016305548352361962,0.2075265306122449,0.8121452708146044,0.5628265402843602,1000
livecodebench,compensatory-mirt,3,2.0,0.5,0.0019149852869727868,0.0010748543050863035,0.0036295575448006697,0.05894612244897959,0.9876775962034475,0.974127962085308,1000
livecodebench,compensatory-mirt,3,2.0,1.0,0.004641362226998569,0.0032462890238699692,0.0068310675979046985,0.11664326530612244,0.9425814973131232,0.8755838862559242,1000
livecodebench,compensatory-mirt,3,2.0,1.5,0.007016311952747795,0.0049470667588292095,0.010313724835311738,0.15956979591836734,0.8884701271533759,0.7523990521327014,1000
livecodebench,compensatory-mirt,3,2.0,2.0,0.009125793585488512,0.006627017146656285,0.013411528661931899,0.18870857142857142,0.8433239823973118,0.6414616113744075,1000
livecodebench,compensatory-mirt,5,0.5,0.5,0.003852253816390011,0.002878267535593897,0.005021199949510479,0.0970604081632653,0.9636709763018027,0.9189345971563981,1000
livecodebench,compensatory-mirt,5,0.5,1.0,0.008418219775272878,0.00657165566077735,0.010622262238772587,0.17682122448979593,0.8661452884559349,0.6956407582938389,1000
livecodebench,compensatory-mirt,5,0.5,1.5,0.012204451323002574,0.009329190512810052,0.01551242241379091,0.22088653061224492,0.7926406274085752,0.5234549763033175,1000
livecodebench,compensatory-mirt,5,0.5,2.0,0.015361988169415003,0.011694089220421653,0.019480798606511585,0.24489142857142857,0.7475964825023532,0.41101137440758295,1000
livecodebench,compensatory-mirt,5,1.0,0.5,0.0025183669387199847,0.001697096130881899,0.0037193957216700587,0.0705926530612245,0.9820895296236082,0.9610578199052132,1000
livecodebench,compensatory-mirt,5,1.0,1.0,0.0060835025929487085,0.0044265899074393935,0.00819371861658667,0.14166857142857142,0.9151150066971299,0.8125715639810427,1000
livecodebench,compensatory-mirt,5,1.0,1.5,0.00920581000381171,0.006873874309972117,0.012322476841878517,0.18954530612244896,0.8447444564260121,0.6535639810426541,1000
livecodebench,compensatory-mirt,5,1.0,2.0,0.011809292417772316,0.008683386314008478,0.016066606203356825,0.2165338775510204,0.7994205426705635,0.5336568720379147,1000
livecodebench,compensatory-mirt,5,1.5,0.5,0.0017563426584602249,0.0010112643899349572,0.003118363850230088,0.05423510204081633,0.9899225072340444,0.9786236966824645,1000
livecodebench,compensatory-mirt,5,1.5,1.0,0.004450408982724641,0.003161056134134184,0.006516965305245049,0.11231836734693877,0.9479878006999487,0.8868208530805687,1000
livecodebench,compensatory-mirt,5,1.5,1.5,0.006995361257949417,0.00498624305424748,0.009938107522223004,0.15794040816326532,0.8919955821347919,0.7623535545023696,1000
livecodebench,compensatory-mirt,5,1.5,2.0,0.009133648455586563,0.006630847152700359,0.01294370879059908,0.1878595918367347,0.8462052693771214,0.6470094786729857,1000
livecodebench,compensatory-mirt,5,2.0,0.5,0.0012174480792457865,0.0008755359963890971,0.002727492494021094,0.044613877551020406,0.9933139654782155,0.9863251184834123,1000
livecodebench,compensatory-mirt,5,2.0,1.0,0.0033908242536766775,0.0022812278288915286,0.005150394587711737,0.08970122448979592,0.9681646005837492,0.928714691943128,1000
livecodebench,compensatory-mirt,5,2.0,1.5,0.005520716561039807,0.003791469194312834,0.00810242475861523,0.13094938775510204,0.9267379449748987,0.8351023696682464,1000
livecodebench,compensatory-mirt,5,2.0,2.0,0.0073898990439210666,0.00521653279402894,0.01090693183003839,0.16543102040816327,0.8803551027752042,0.7364369668246445,1000
livecodebench,non-compensatory-mirt,2,0.5,0.5,0.0269834613768046,0.020286505031610554,0.03540055319735578,0.06685795918367347,0.9777810238958115,0.32224834123222745,1000
livecodebench,non-compensatory-mirt,2,0.5,1.0,0.03062339911259146,0.02358106752752134,0.039025585580330126,0.06236897959183673,0.9805438042149303,0.347218009478673,1000
livecodebench,non-compensatory-mirt,2,0.5,1.5,0.03694888609727148,0.02899999999999998,0.045704823355711195,0.0659257142857143,0.978594778706067,0.31994123222748816,1000
livecodebench,non-compensatory-mirt,2,0.5,2.0,0.04288824976766725,0.0341358973438358,0.052438402953074954,0.07254530612244897,0.9748437409339518,0.2805118483412322,1000
livecodebench,non-compensatory-mirt,2,1.0,0.5,0.03915099723307855,0.025782813322801464,0.057735477754369,0.03807510204081633,0.9902396554425682,0.31415545023696684,1000
livecodebench,non-compensatory-mirt,2,1.0,1.0,0.04762149328051185,0.03538834901142499,0.06284345605575072,0.03494448979591837,0.9899993070380165,0.3487336492890995,1000
livecodebench,non-compensatory-mirt,2,1.0,1.5,0.05760460982386802,0.04480104912225553,0.07152861604324312,0.03654040816326531,0.9890140454070503,0.3333345971563981,1000
livecodebench,non-compensatory-mirt,2,1.0,2.0,0.06753593675803721,0.05436900530354317,0.08239916071596692,0.04038775510204081,0.9881315744256456,0.29881516587677726,1000
livecodebench,non-compensatory-mirt,2,1.5,0.5,0.04901255242796361,0.0274344152424721,0.07964330256921923,0.02966122448979592,0.9917510717467489,0.3133431279620853,1000
livecodebench,non-compensatory-mirt,2,1.5,1.0,0.06167564805453456,0.0424669427816402,0.08388296102028862,0.027031020408163266,0.9898293976356033,0.3421914691943128,1000
livecodebench,non-compensatory-mirt,2,1.5,1.5,0.07229020671938369,0.05577714668484192,0.09293789630528669,0.028599183673469388,0.9882424255067989,0.34301895734597154,1000
livecodebench,non-compensatory-mirt,2,1.5,2.0,0.0838043361712166,0.0673099896388287,0.10201689330245794,0.0319934693877551,0.987311930513809,0.31761137440758297,1000
livecodebench,non-compensatory-mirt,2,2.0,0.5,0.05918648958832173,0.02927066292509686,0.09761513883551796,0.029193469387755102,0.9908943446244399,0.28956587677725115,1000
livecodebench,non-compensatory-mirt,2,2.0,1.0,0.07255213838407948,0.043822087089180076,0.10538627454109283,0.02377959183673469,0.9892364333651545,0.3403175355450237,1000
livecodebench,non-compensatory-mirt,2,2.0,1.5,0.08428506802427763,0.05864035698645143,0.11243906936289602,0.024942040816326533,0.9863702689286368,0.3470957345971564,1000
livecodebench,non-compensatory-mirt,2,2.0,2.0,0.09469024379397348,0.07363267558905612,0.11969411964806682,0.027781224489795916,0.9849088022850738,0.3331895734597156,1000
livecodebench,non-compensatory-mirt,3,0.5,0.5,0.10604265402843602,0.07564677734285478,0.15603870458135863,0.31587039679093526,0.6547788207242681,0.019936904881948745,987
livecodebench,non-compensatory-mirt,3,0.5,1.0,0.06426080662296127,0.049425481181698226,0.0818117130268429,0.17301714285714287,0.8693827177830986,0.07976113744075829,1000
livecodebench,non-compensatory-mirt,3,0.5,1.5,0.05860383911331772,0.046055619647459904,0.07112378280620212,0.13986367346938774,0.9119347061765897,0.11887203791469195,1000
livecodebench,non-compensatory-mirt,3,0.5,2.0,0.05901399430646124,0.047269556237536585,0.07367845424717467,0.13056163265306123,0.922985478768939,0.13149763033175355,1000
livecodebench,non-compensatory-mirt,3,1.0,0.5,0.132454152070884,0.08824807740689615,0.18703791469194314,0.23109710293383762,0.8112157602836744,0.017000616052748753,777
livecodebench,non-compensatory-mirt,3,1.0,1.0,0.09602786396764655,0.07424834585423606,0.12322320452059787,0.11277551020408162,0.9343224949222382,0.06572701421800947,1000
livecodebench,non-compensatory-mirt,3,1.0,1.5,0.09277789745799225,0.07435268562401262,0.11330202807751495,0.08631346938775511,0.9569115519681246,0.10879241706161137,1000
livecodebench,non-compensatory-mirt,3,1.0,2.0,0.09435071403202164,0.07631391858029332,0.1144910447950199,0.07941632653061224,0.9626675360196819,0.12739241706161136,1000
livecodebench,non-compensatory-mirt,3,1.5,0.5,0.14856742783283064,0.09960405597695746,0.19096498156924696,0.1924771287825475,0.8729290192641405,0.015852263441738845,464
livecodebench,non-compensatory-mirt,3,1.5,1.0,0.12634403854267856,0.09492932369982694,0.16378628554502364,0.10158857142857143,0.9413582089797728,0.05030616113744076,1000
livecodebench,non-compensatory-mirt,3,1.5,1.5,0.12228969335002703,0.09501823845785186,0.14970208931313,0.07209469387755102,0.960292255734733,0.09441421800947868,1000
livecodebench,non-compensatory-mirt,3,1.5,2.0,0.12366058925822761,0.09976234061886201,0.14848764299932993,0.06534775510204083,0.9655376420775387,0.12063222748815165,1000
livecodebench,non-compensatory-mirt,3,2.0,0.5,0.14611738971928542,0.10352752225859164,0.1959063981042654,0.16540079149530534,0.9168067971424323,0.017822067648171843,263
livecodebench,non-compensatory-mirt,3,2.0,1.0,0.14997630331753556,0.11054381402997024,0.2006398104265402,0.11251784149242519,0.9358423993258058,0.037116079822444484,978
livecodebench,non-compensatory-mirt,3,2.0,1.5,0.14621005886556832,0.11642693872415387,0.17993957345971556,0.07043020408163266,0.9576870941167298,0.0760654028436019,1000
livecodebench,non-compensatory-mirt,3,2.0,2.0,0.14671029010483988,0.11661933541623971,0.177962166461079,0.06141387755102041,0.9626346395364127,0.10686350710900475,1000
livecodebench,non-compensatory-mirt,5,0.5,1.5,0.155999398179493,0.11569462396476615,0.22445497630331748,0.4255252416756176,0.4740280115034727,0.009174357695185832,380
livecodebench,non-compensatory-mirt,5,0.5,2.0,0.13006845708267514,0.09590324367575552,0.18862559241706156,0.37425877965399357,0.5575440341032084,0.014549041306805878,985
livecodebench,non-compensatory-mirt,5,1.0,1.5,0.19207477619799893,0.13559537914691944,0.22742594786729856,0.3297959183673469,0.6623080957081866,0.00889271865575183,110
livecodebench,non-compensatory-mirt,5,1.0,2.0,0.16949590693666522,0.12836361242759353,0.221563981042654,0.3024981558888616,0.7006503427569711,0.011904299663107406,830
livecodebench,non-compensatory-mirt,5,1.5,1.5,0.2127962085308056,0.18741969457609267,0.23738744075829385,0.25819241982507285,0.8024002056739014,0.008395396073121193,7
livecodebench,non-compensatory-mirt,5,1.5,2.0,0.20639810426540287,0.1647709320695103,0.2424170616113744,0.2599655073296924,0.769071568652926,0.010110584518167457,426
livecodebench,non-compensatory-mirt,5,2.0,2.0,0.23199052132701423,0.19526066350710902,0.2630331753554503,0.22892224658458424,0.81828214737195,0.008938153617171282,121
livecodebench,rasch,1,0.5,0.5,0.005425165259856729,0.0042083387233710755,0.006777435549665055,0.014831020408163266,0.9990454538197503,0.8875279620853082,1000
livecodebench,rasch,1,0.5,1.0,0.017228463859543297,0.013639397551637965,0.02096220673569954,0.029084897959183675,0.9959977150978581,0.6310938388625592,1000
livecodebench,rasch,1,0.5,1.5,0.030554597779015452,0.02463646836989654,0.03694526739057603,0.040715102040816326,0.9921456247795843,0.4612843601895735,1000
livecodebench,rasch,1,0.5,2.0,0.04250634657137306,0.03429827867443032,0.05089830870032502,0.049582857142857144,0.9884505014616746,0.35857630331753554,1000
livecodebench,rasch,1,1.0,0.5,0.005252841176054318,0.0038097835611384952,0.007916057920716644,0.0067885714285714285,0.9997630143762145,0.916872037914692,1000
livecodebench,rasch,1,1.0,1.0,0.021864069566517763,0.018143070079826705,0.025775065996091494,0.013946122448979591,0.9988387509003265,0.6858928909952607,1000
livecodebench,rasch,1,1.0,1.5,0.04308715903870902,0.03714343341714874,0.04910834535894952,0.01943265306122449,0.9976126198516186,0.5125848341232228,1000
livecodebench,rasch,1,1.0,2.0,0.06347442841518672,0.0546884405444192,0.0723616443223084,0.024026938775510202,0.9962770815847684,0.40186255924170616,1000
livecodebench,rasch,1,1.5,0.5,0.004417331329711394,0.0024508315618901556,0.009207711336501678,0.004043265306122449,0.9998815320188627,0.944508056872038,1000
livecodebench,rasch,1,1.5,1.0,0.021138306646921734,0.017292915653707275,0.027257929335508416,0.00873142857142857,0.999208168010679,0.7509895734597156,1000
livecodebench,rasch,1,1.5,1.5,0.044747998498999936,0.039224494421840166,0.05136630601863933,0.01270938775510204,0.9979629254492557,0.5770018957345971,1000
livecodebench,rasch,1,1.5,2.0,0.06883762211106742,0.060337513359893215,0.07688800100420479,0.015714285714285712,0.9964478246884645,0.457957345971564,1000
livecodebench,rasch,1,2.0,0.5,0.003259070550986176,0.0013803747060151638,0.010660869659784957,0.0029085714285714288,0.9999213583279936,0.9630265402843602,1000
livecodebench,rasch,1,2.0,1.0,0.018834203477452516,0.013568803521561541,0.02931394363656869,0.0066612244897959185,0.9993116104159951,0.8086654028436019,1000
livecodebench,rasch,1,2.0,1.5,0.0419324710307397,0.03470301607651863,0.05208132936044752,0.009213877551020409,0.9979357479096259,0.643526066350711,1000
livecodebench,rasch,1,2.0,2.0,0.06636785399534528,0.058013967117457294,0.075725966426485,0.011488979591836734,0.9961071628772501,0.5207109004739336,1000
mmlu-pro,compensatory-mirt,2,0.5,0.5,0.0014895026406347989,0.0011595720441624567,0.0018702102658564547,0.10831737588652483,0.9414584053828179,0.8705489527925532,1000
mmlu-pro,compensatory-mirt,2,0.5,1.0,0.003032454851276789,0.00235749521217889,0.0037964308309506594,0.18734397163120567,0.8268723425975364,0.6153089261968085,1000
mmlu-pro,compensatory-mirt,2,0.5,1.5,0.004268421945289744,0.0033761418995676474,0.005320830423889007,0.22793971631205673,0.7491083643910726,0.4501899102393617,1000
mmlu-pro,compensatory-mirt,2,0.5,2.0,0.005282183790907127,0.004062899550529576,0.006536247739643757,0.2457313829787234,0.711696941952541,0.3498254654255319,1000
mmlu-pro,compensatory-mirt,2,1.0,0.5,0.0012259613568624678,0.0009235282093548139,0.0016769761084079293,0.09383421985815603,0.9561114758710132,0.9058309507978723,1000
mmlu-pro,compensatory-mirt,2,1.0,1.0,0.0025740860061844034,0.001957060247645171,0.003407789728500196,0.16968705673758866,0.8551725824278653,0.6855134640957447,1000
mmlu-pro,compensatory-mirt,2,1.0,1.5,0.00363232547581592,0.002751790432426169,0.004985640112065129,0.21033333333333334,0.7831369471228543,0.519595079787234,1000
mmlu-pro,compensatory-mirt,2,1.0,2.0,0.004559316159136989,0.003424577999616555,0.00618759425986136,0.23261436170212765,0.737781332976719,0.4115192819148936,1000
mmlu-pro,compensatory-mirt,2,1.5,0.5,0.0010104641443135914,0.000718427241105863,0.00152280313206724,0.08051950354609928,0.9669505644475301,0.9310403091755319,1000
mmlu-pro,compensatory-mirt,2,1.5,1.0,0.0021572714891597844,0.0016047995107636096,0.0030665902334140664,0.15087145390070922,0.8841959500913308,0.7506369680851064,1000
mmlu-pro,compensatory-mirt,2,1.5,1.5,0.0030843667479947268,0.00225185757352437,0.004626536431118746,0.19288918439716313,0.8127904991819652,0.5916379654255319,1000
mmlu-pro,compensatory-mirt,2,1.5,2.0,0.003915709094760272,0.0027930604360298207,0.005731494638073156,0.2172118794326241,0.7663926679194831,0.47840766289893616,1000
mmlu-pro,compensatory-mirt,2,2.0,0.5,0.0008502639769366743,0.0006003617426055471,0.0014600899293049133,0.0704831560283688,0.9741579112690473,0.94702734375,1000
mmlu-pro,compensatory-mirt,2,2.0,1.0,0.0018596108656866034,0.0013402844743908738,0.0028775187678613174,0.13502925531914894,0.9044074328114481,0.797123670212766,1000
mmlu-pro,compensatory-mirt,2,2.0,1.5,0.00264427306288062,0.0019169024202027173,0.004141837098418706,0.1718590425531915,0.8481557225549268,0.6545885970744681,1000
mmlu-pro,compensatory-mirt,2,2.0,2.0,0.0033875452476855306,0.002364735123890636,0.005244498625266493,0.20006205673758864,0.7965339761207558,0.542629571143617,1000
mmlu-pro,compensatory-mirt,3,0.5,0.5,0.0014239545189482367,0.001098065045795712,0.0017810222931709376,0.10544148936170213,0.9450957394541767,0.8804658410904256,1000
mmlu-pro,compensatory-mirt,3,0.5,1.0,0.0029255732897559422,0.0022925727315559184,0.003656727619630433,0.1831258865248227,0.8348743909761185,0.6328180684840425,1000
mmlu-pro,compensatory-mirt,3,0.5,1.5,0.0040794481544196015,0.0032048447826681257,0.00525130172474214,0.2231276595744681,0.7583703047125528,0.46535629986702126,1000
mmlu-pro,compensatory-mirt,3,0.5,2.0,0.005133530427360353,0.00403776463106604,0.006425317532281233,0.24578191489361703,0.7127888548060772,0.36334158909574465,1000
mmlu-pro,compensatory-mirt,3,1.0,0.5,0.0010909281165018825,0.0007957786706194091,0.0015419103416009728,0.08473758865248228,0.9637852936030847,0.9228794880319149,1000
mmlu-pro,compensatory-mirt,3,1.0,1.0,0.0023277182709871974,0.0017635957547995525,0.003221619042701016,0.1569964539007092,0.8760349009742958,0.7242276429521277,1000
mmlu-pro,compensatory-mirt,3,1.0,1.5,0.0033839418176491998,0.0025298672624197334,0.0047059399578120225,0.20146099290780142,0.8000558678627795,0.5601812666223405,1000
mmlu-pro,compensatory-mirt,3,1.0,2.0,0.004232976214184475,0.003153712480048017,0.005690171011342327,0.22598492907801418,0.7513459107947863,0.44677726063829787,1000
mmlu-pro,compensatory-mirt,3,1.5,0.5,0.0008628173147140344,0.0005947733111905717,0.0013794729260907593,0.06997606382978723,0.9751406500809592,0.9480462932180851,1000
mmlu-pro,compensatory-mirt,3,1.5,1.0,0.001886195681723768,0.0013279375794688173,0.0026182009074605696,0.13363386524822696,0.9082610760742805,0.7999823803191489,1000
mmlu-pro,compensatory-mirt,3,1.5,1.5,0.0027015726407348117,0.001964625817090971,0.003987390218069182,0.17683067375886527,0.8411977423903682,0.6489276097074468,1000
mmlu-pro,compensatory-mirt,3,1.5,2.0,0.0034840099448858602,0.002528445588292924,0.004973019053552301,0.20589716312056738,0.7876725701510192,0.5338778257978724,1000
